bbl loader

 FFT 1024
X[0] -> REAL: 524800.000 , IMG: 524800.000 
X[1] -> REAL: 166373.530 , IMG: 167397.530 
X[2] -> REAL: 82929.980 , IMG: 83953.980 
X[3] -> REAL: 55115.114 , IMG: 56139.114 
X[4] -> REAL: 41207.419 , IMG: 42231.419 
X[5] -> REAL: 32862.593 , IMG: 33886.593 
X[6] -> REAL: 27299.201 , IMG: 28323.201 
X[7] -> REAL: 23325.199 , IMG: 24349.199 
X[8] -> REAL: 20344.568 , IMG: 21368.568 
X[9] -> REAL: 18026.182 , IMG: 19050.182 
X[10] -> REAL: 16171.369 , IMG: 17195.369 
X[11] -> REAL: 14653.699 , IMG: 15677.699 
X[12] -> REAL: 13388.887 , IMG: 14412.887 
X[13] -> REAL: 12318.581 , IMG: 13342.581 
X[14] -> REAL: 11401.101 , IMG: 12425.101 
X[15] -> REAL: 10605.882 , IMG: 11629.882 
X[16] -> REAL: 9909.999 , IMG: 10933.999 
X[17] -> REAL: 9295.924 , IMG: 10319.924 
X[18] -> REAL: 8750.021 , IMG: 9774.021 
X[19] -> REAL: 8261.526 , IMG: 9285.526 
X[20] -> REAL: 7821.828 , IMG: 8845.828 
X[21] -> REAL: 7423.956 , IMG: 8447.956 
X[22] -> REAL: 7062.207 , IMG: 8086.207 
X[23] -> REAL: 6731.869 , IMG: 7755.869 
X[24] -> REAL: 6429.015 , IMG: 7453.015 
X[25] -> REAL: 6150.347 , IMG: 7174.347 
X[26] -> REAL: 5893.075 , IMG: 6917.075 
X[27] -> REAL: 5654.821 , IMG: 6678.821 
X[28] -> REAL: 5433.548 , IMG: 6457.548 
X[29] -> REAL: 5227.499 , IMG: 6251.499 
X[30] -> REAL: 5035.152 , IMG: 6059.152 
X[31] -> REAL: 4855.180 , IMG: 5879.180 
X[32] -> REAL: 4686.423 , IMG: 5710.423 
X[33] -> REAL: 4527.863 , IMG: 5551.863 
X[34] -> REAL: 4378.598 , IMG: 5402.598 
X[35] -> REAL: 4237.833 , IMG: 5261.833 
X[36] -> REAL: 4104.859 , IMG: 5128.859 
X[37] -> REAL: 3979.044 , IMG: 5003.044 
X[38] -> REAL: 3859.823 , IMG: 4883.823 
X[39] -> REAL: 3746.690 , IMG: 4770.690 
X[40] -> REAL: 3639.186 , IMG: 4663.186 
X[41] -> REAL: 3536.901 , IMG: 4560.901 
X[42] -> REAL: 3439.462 , IMG: 4463.462 
X[43] -> REAL: 3346.530 , IMG: 4370.530 
X[44] -> REAL: 3257.798 , IMG: 4281.798 
X[45] -> REAL: 3172.987 , IMG: 4196.987 
X[46] -> REAL: 3091.840 , IMG: 4115.840 
X[47] -> REAL: 3014.124 , IMG: 4038.124 
X[48] -> REAL: 2939.624 , IMG: 3963.624 
X[49] -> REAL: 2868.143 , IMG: 3892.143 
X[50] -> REAL: 2799.500 , IMG: 3823.500 
X[51] -> REAL: 2733.528 , IMG: 3757.528 
X[52] -> REAL: 2670.074 , IMG: 3694.074 
X[53] -> REAL: 2608.994 , IMG: 3632.994 
X[54] -> REAL: 2550.156 , IMG: 3574.156 
X[55] -> REAL: 2493.439 , IMG: 3517.439 
X[56] -> REAL: 2438.729 , IMG: 3462.729 
X[57] -> REAL: 2385.919 , IMG: 3409.919 
X[58] -> REAL: 2334.913 , IMG: 3358.913 
X[59] -> REAL: 2285.617 , IMG: 3309.617 
X[60] -> REAL: 2237.947 , IMG: 3261.947 
X[61] -> REAL: 2191.823 , IMG: 3215.823 
X[62] -> REAL: 2147.169 , IMG: 3171.169 
X[63] -> REAL: 2103.916 , IMG: 3127.916 
X[64] -> REAL: 2061.998 , IMG: 3085.998 
X[65] -> REAL: 2021.353 , IMG: 3045.353 
X[66] -> REAL: 1981.924 , IMG: 3005.924 
X[67] -> REAL: 1943.656 , IMG: 2967.656 
X[68] -> REAL: 1906.498 , IMG: 2930.498 
X[69] -> REAL: 1870.402 , IMG: 2894.402 
X[70] -> REAL: 1835.321 , IMG: 2859.321 
X[71] -> REAL: 1801.214 , IMG: 2825.214 
X[72] -> REAL: 1768.040 , IMG: 2792.040 
X[73] -> REAL: 1735.759 , IMG: 2759.759 
X[74] -> REAL: 1704.337 , IMG: 2728.337 
X[75] -> REAL: 1673.738 , IMG: 2697.738 
X[76] -> REAL: 1643.931 , IMG: 2667.931 
X[77] -> REAL: 1614.883 , IMG: 2638.883 
X[78] -> REAL: 1586.567 , IMG: 2610.567 
X[79] -> REAL: 1558.954 , IMG: 2582.954 
X[80] -> REAL: 1532.019 , IMG: 2556.019 
X[81] -> REAL: 1505.735 , IMG: 2529.735 
X[82] -> REAL: 1480.078 , IMG: 2504.078 
X[83] -> REAL: 1455.028 , IMG: 2479.028 
X[84] -> REAL: 1430.560 , IMG: 2454.560 
X[85] -> REAL: 1406.656 , IMG: 2430.656 
X[86] -> REAL: 1383.296 , IMG: 2407.296 
X[87] -> REAL: 1360.460 , IMG: 2384.460 
X[88] -> REAL: 1338.130 , IMG: 2362.130 
X[89] -> REAL: 1316.291 , IMG: 2340.291 
X[90] -> REAL: 1294.924 , IMG: 2318.924 
X[91] -> REAL: 1274.016 , IMG: 2298.016 
X[92] -> REAL: 1253.550 , IMG: 2277.550 
X[93] -> REAL: 1233.513 , IMG: 2257.513 
X[94] -> REAL: 1213.890 , IMG: 2237.890 
X[95] -> REAL: 1194.669 , IMG: 2218.669 
X[96] -> REAL: 1175.838 , IMG: 2199.838 
X[97] -> REAL: 1157.383 , IMG: 2181.383 
X[98] -> REAL: 1139.294 , IMG: 2163.294 
X[99] -> REAL: 1121.560 , IMG: 2145.560 
X[100] -> REAL: 1104.169 , IMG: 2128.169 
X[101] -> REAL: 1087.112 , IMG: 2111.112 
X[102] -> REAL: 1070.379 , IMG: 2094.379 
X[103] -> REAL: 1053.960 , IMG: 2077.960 
X[104] -> REAL: 1037.846 , IMG: 2061.846 
X[105] -> REAL: 1022.029 , IMG: 2046.029 
X[106] -> REAL: 1006.500 , IMG: 2030.500 
X[107] -> REAL: 991.251 , IMG: 2015.251 
X[108] -> REAL: 976.274 , IMG: 2000.274 
X[109] -> REAL: 961.562 , IMG: 1985.562 
X[110] -> REAL: 947.108 , IMG: 1971.108 
X[111] -> REAL: 932.904 , IMG: 1956.904 
X[112] -> REAL: 918.944 , IMG: 1942.944 
X[113] -> REAL: 905.222 , IMG: 1929.222 
X[114] -> REAL: 891.730 , IMG: 1915.730 
X[115] -> REAL: 878.464 , IMG: 1902.464 
X[116] -> REAL: 865.416 , IMG: 1889.416 
X[117] -> REAL: 852.583 , IMG: 1876.583 
X[118] -> REAL: 839.957 , IMG: 1863.957 
X[119] -> REAL: 827.535 , IMG: 1851.535 
X[120] -> REAL: 815.310 , IMG: 1839.310 
X[121] -> REAL: 803.278 , IMG: 1827.278 
X[122] -> REAL: 791.435 , IMG: 1815.435 
X[123] -> REAL: 779.775 , IMG: 1803.775 
X[124] -> REAL: 768.294 , IMG: 1792.294 
X[125] -> REAL: 756.988 , IMG: 1780.988 
X[126] -> REAL: 745.852 , IMG: 1769.852 
X[127] -> REAL: 734.883 , IMG: 1758.883 
X[128] -> REAL: 724.077 , IMG: 1748.077 
X[129] -> REAL: 713.430 , IMG: 1737.430 
X[130] -> REAL: 702.938 , IMG: 1726.938 
