bbl loader

 FFT 1024
X[0] -> REAL: 524800.000 , IMG: 524800.000 
X[1] -> REAL: 0.000 , IMG: 0.000 
X[2] -> REAL: 1026.000 , IMG: 1024.000 
X[3] -> REAL: 0.000 , IMG: 0.000 
X[4] -> REAL: 41207.419 , IMG: 42231.419 
X[5] -> REAL: 0.000 , IMG: 0.000 
X[6] -> REAL: 1282.000 , IMG: 768.000 
X[7] -> REAL: 0.000 , IMG: 0.000 
X[8] -> REAL: 20344.568 , IMG: 21368.568 
X[9] -> REAL: 0.000 , IMG: 0.000 
X[10] -> REAL: 1154.000 , IMG: 896.000 
X[11] -> REAL: 0.000 , IMG: 0.000 
X[12] -> REAL: 13388.887 , IMG: 14412.887 
X[13] -> REAL: 0.000 , IMG: 0.000 
X[14] -> REAL: 1410.000 , IMG: 640.000 
X[15] -> REAL: 0.000 , IMG: 0.000 
X[16] -> REAL: 9909.999 , IMG: 10933.999 
X[17] -> REAL: 0.000 , IMG: 0.000 
X[18] -> REAL: 1090.000 , IMG: 960.000 
X[19] -> REAL: 0.000 , IMG: 0.000 
X[20] -> REAL: 7821.828 , IMG: 8845.828 
X[21] -> REAL: 0.000 , IMG: 0.000 
X[22] -> REAL: 1346.000 , IMG: 704.000 
X[23] -> REAL: 0.000 , IMG: 0.000 
X[24] -> REAL: 6429.015 , IMG: 7453.015 
X[25] -> REAL: 0.000 , IMG: 0.000 
X[26] -> REAL: 1218.000 , IMG: 832.000 
X[27] -> REAL: 0.000 , IMG: 0.000 
X[28] -> REAL: 5433.548 , IMG: 6457.548 
X[29] -> REAL: 0.000 , IMG: 0.000 
X[30] -> REAL: 1474.000 , IMG: 576.000 
X[31] -> REAL: 0.000 , IMG: 0.000 
X[32] -> REAL: 4686.423 , IMG: 5710.423 
X[33] -> REAL: 0.000 , IMG: 0.000 
X[34] -> REAL: 1058.000 , IMG: 992.000 
X[35] -> REAL: 0.000 , IMG: 0.000 
X[36] -> REAL: 4104.859 , IMG: 5128.859 
X[37] -> REAL: 0.000 , IMG: 0.000 
X[38] -> REAL: 1314.000 , IMG: 736.000 
X[39] -> REAL: 0.000 , IMG: 0.000 
X[40] -> REAL: 3639.186 , IMG: 4663.186 
X[41] -> REAL: 0.000 , IMG: 0.000 
X[42] -> REAL: 1186.000 , IMG: 864.000 
X[43] -> REAL: 0.000 , IMG: 0.000 
X[44] -> REAL: 3257.798 , IMG: 4281.798 
X[45] -> REAL: 0.000 , IMG: 0.000 
X[46] -> REAL: 1442.000 , IMG: 608.000 
X[47] -> REAL: 0.000 , IMG: 0.000 
X[48] -> REAL: 2939.624 , IMG: 3963.624 
X[49] -> REAL: 0.000 , IMG: 0.000 
X[50] -> REAL: 1122.000 , IMG: 928.000 
X[51] -> REAL: 0.000 , IMG: 0.000 
X[52] -> REAL: 2670.074 , IMG: 3694.074 
X[53] -> REAL: 0.000 , IMG: 0.000 
X[54] -> REAL: 1378.000 , IMG: 672.000 
X[55] -> REAL: 0.000 , IMG: 0.000 
X[56] -> REAL: 2438.729 , IMG: 3462.729 
X[57] -> REAL: 0.000 , IMG: 0.000 
X[58] -> REAL: 1250.000 , IMG: 800.000 
X[59] -> REAL: 0.000 , IMG: 0.000 
X[60] -> REAL: 2237.947 , IMG: 3261.947 
X[61] -> REAL: 0.000 , IMG: 0.000 
X[62] -> REAL: 1506.000 , IMG: 544.000 
X[63] -> REAL: 0.000 , IMG: 0.000 
X[64] -> REAL: 2061.998 , IMG: 3085.998 
X[65] -> REAL: 0.000 , IMG: 0.000 
X[66] -> REAL: 1042.000 , IMG: 1008.000 
X[67] -> REAL: 0.000 , IMG: 0.000 
X[68] -> REAL: 1906.498 , IMG: 2930.498 
X[69] -> REAL: 0.000 , IMG: 0.000 
X[70] -> REAL: 1298.000 , IMG: 752.000 
X[71] -> REAL: 0.000 , IMG: 0.000 
X[72] -> REAL: 1768.040 , IMG: 2792.040 
X[73] -> REAL: 0.000 , IMG: 0.000 
X[74] -> REAL: 1170.000 , IMG: 880.000 
X[75] -> REAL: 0.000 , IMG: 0.000 
X[76] -> REAL: 1643.931 , IMG: 2667.931 
X[77] -> REAL: 0.000 , IMG: 0.000 
X[78] -> REAL: 1426.000 , IMG: 624.000 
X[79] -> REAL: 0.000 , IMG: 0.000 
X[80] -> REAL: 1532.019 , IMG: 2556.019 
X[81] -> REAL: 0.000 , IMG: 0.000 
X[82] -> REAL: 1106.000 , IMG: 944.000 
X[83] -> REAL: 0.000 , IMG: 0.000 
X[84] -> REAL: 1430.560 , IMG: 2454.560 
X[85] -> REAL: 0.000 , IMG: 0.000 
X[86] -> REAL: 1362.000 , IMG: 688.000 
X[87] -> REAL: 0.000 , IMG: 0.000 
X[88] -> REAL: 1338.130 , IMG: 2362.130 
X[89] -> REAL: 0.000 , IMG: 0.000 
X[90] -> REAL: 1234.000 , IMG: 816.000 
X[91] -> REAL: 0.000 , IMG: 0.000 
X[92] -> REAL: 1253.550 , IMG: 2277.550 
X[93] -> REAL: 0.000 , IMG: 0.000 
X[94] -> REAL: 1490.000 , IMG: 560.000 
X[95] -> REAL: 0.000 , IMG: 0.000 
X[96] -> REAL: 1175.838 , IMG: 2199.838 
X[97] -> REAL: 0.000 , IMG: 0.000 
X[98] -> REAL: 1074.000 , IMG: 976.000 
X[99] -> REAL: 0.000 , IMG: 0.000 
X[100] -> REAL: 1104.169 , IMG: 2128.169 
X[101] -> REAL: 0.000 , IMG: 0.000 
X[102] -> REAL: 1330.000 , IMG: 720.000 
